call_id, enqueued_at, started_at, completed_at, waiting_time_ms, exec_time_ms, total_time_ms
call#0, 1768141246220, 1768141246220, 1768141247229, 0, 1009, 1009
call#1, 1768141246220, 1768141246220, 1768141247228, 0, 1008, 1008
call#2, 1768141246220, 1768141246220, 1768141247229, 0, 1009, 1009
call#3, 1768141246220, 1768141246220, 1768141247229, 0, 1009, 1009
call#4, 1768141246221, 1768141246220, 1768141247228, 1, 1008, 1007
call#5, 1768141246221, 1768141246220, 1768141248233, 1, 2013, 2012
call#6, 1768141246221, 1768141246220, 1768141248233, 1, 2013, 2012
call#7, 1768141246221, 1768141246220, 1768141248233, 1, 2013, 2012
call#8, 1768141246221, 1768141246220, 1768141248233, 1, 2013, 2012
call#9, 1768141246221, 1768141246220, 1768141248233, 1, 2013, 2012
call#10, 1768141246221, 1768141246220, 1768141249237, 1, 3017, 3016
call#11, 1768141246221, 1768141246220, 1768141249237, 1, 3017, 3016
call#12, 1768141246221, 1768141246220, 1768141249237, 1, 3017, 3016
call#13, 1768141246221, 1768141246220, 1768141249237, 1, 3017, 3016
call#14, 1768141246222, 1768141246220, 1768141249237, 2, 3017, 3015
call#15, 1768141246222, 1768141246220, 1768141250241, 2, 4021, 4019
call#16, 1768141246222, 1768141246220, 1768141250241, 2, 4021, 4019
call#17, 1768141246222, 1768141246220, 1768141250241, 2, 4021, 4019
call#18, 1768141246222, 1768141246220, 1768141250241, 2, 4021, 4019
call#19, 1768141246222, 1768141246220, 1768141250241, 2, 4021, 4019
